aqi,city,co,crawl_time,date,level,no2,o3,pm10,pm2_5,so2,source
142,安阳,2.6,2018-07-17 15:37:39.335838,2014-03-01,轻度污染,57,55,0,108,103,aqi_redisspider
218,安阳,2.4,2018-07-17 15:37:39.646974,2014-03-02,重度污染,71,27,247,168,116,aqi_redisspider
125,安阳,1.6,2018-07-17 15:37:39.658142,2014-03-03,轻度污染,40,78,121,95,60,aqi_redisspider
133,安阳,2.1,2018-07-17 15:37:39.673603,2014-03-04,轻度污染,48,58,144,101,65,aqi_redisspider
99,安阳,2.2,2018-07-17 15:37:39.684020,2014-03-05,良,54,36,113,74,88,aqi_redisspider
124,安阳,2,2018-07-17 15:37:39.689442,2014-03-06,轻度污染,60,53,162,94,110,aqi_redisspider
134,安阳,2.6,2018-07-17 15:37:39.701568,2014-03-07,轻度污染,49,60,170,102,74,aqi_redisspider
139,安阳,2,2018-07-17 15:37:39.705900,2014-03-08,轻度污染,58,65,148,106,85,aqi_redisspider
214,安阳,3.4,2018-07-17 15:37:39.712014,2014-03-09,重度污染,74,75,248,164,117,aqi_redisspider
186,安阳,2.4,2018-07-17 15:37:39.717725,2014-03-10,中度污染,60,109,201,140,127,aqi_redisspider
85,安阳,1.9,2018-07-17 15:37:39.837894,2014-03-11,良,40,97,112,63,50,aqi_redisspider
149,安阳,2.5,2018-07-17 15:37:39.844795,2014-03-12,轻度污染,50,47,248,85,78,aqi_redisspider
88,安阳,2.6,2018-07-17 15:37:39.858544,2014-03-13,良,49,65,102,65,77,aqi_redisspider
100,安阳,2.5,2018-07-17 15:37:39.865253,2014-03-14,良,49,70,150,49,80,aqi_redisspider
138,安阳,2.4,2018-07-17 15:37:39.875758,2014-03-15,轻度污染,72,64,225,79,108,aqi_redisspider
146,安阳,2.7,2018-07-17 15:37:39.880837,2014-03-16,轻度污染,73,93,242,106,98,aqi_redisspider
286,安阳,2.8,2018-07-17 15:37:39.883116,2014-03-17,重度污染,78,117,410,176,116,aqi_redisspider
412,安阳,1.9,2018-07-17 15:37:39.887951,2014-03-18,严重污染,68,59,512,160,90,aqi_redisspider
144,安阳,1.2,2018-07-17 15:37:39.890263,2014-03-19,轻度污染,49,50,151,110,74,aqi_redisspider
113,安阳,1.6,2018-07-17 15:37:39.894730,2014-03-20,轻度污染,56,69,163,85,69,aqi_redisspider
143,安阳,1.7,2018-07-17 15:37:39.897065,2014-03-21,轻度污染,64,74,212,109,86,aqi_redisspider
139,安阳,1.5,2018-07-17 15:37:39.903284,2014-03-22,轻度污染,65,86,166,106,84,aqi_redisspider
100,安阳,1.4,2018-07-17 15:37:39.907864,2014-03-23,良,51,102,0,75,55,aqi_redisspider
110,安阳,1.7,2018-07-17 15:37:39.914416,2014-03-24,轻度污染,58,124,129,83,62,aqi_redisspider
182,安阳,2.3,2018-07-17 15:37:39.919011,2014-03-25,中度污染,62,102,204,137,63,aqi_redisspider
169,安阳,2.2,2018-07-17 15:37:39.921634,2014-03-26,中度污染,48,133,172,128,50,aqi_redisspider
112,安阳,1.7,2018-07-17 15:37:39.924020,2014-03-27,轻度污染,31,164,0,84,27,aqi_redisspider
114,安阳,1.7,2018-07-17 15:37:39.927585,2014-03-28,轻度污染,40,171,149,86,36,aqi_redisspider
188,安阳,2.6,2018-07-17 15:37:39.932909,2014-03-29,中度污染,56,187,263,141,59,aqi_redisspider
228,安阳,2.2,2018-07-17 15:37:39.937901,2014-03-30,重度污染,52,165,254,178,49,aqi_redisspider
115,安阳,1.8,2018-07-17 15:37:39.940950,2014-03-31,轻度污染,42,167,159,87,40,aqi_redisspider
